Description,Sold_qty,return_qyt,Return_rate
  DOORMAT UNION JACK GUNS AND ROSES,177,0.0,0.0
 3 STRIPEY MICE FELTCRAFT,691,2.0,0.2894356005788712
 4 PURPLE FLOCK DINNER CANDLES,335,0.0,0.0
 50'S CHRISTMAS GIFT BAG LARGE,1915,2.0,0.10443864229765012
 ANIMAL STICKERS,385,0.0,0.0
 BLACK PIRATE TREASURE CHEST,55,0.0,0.0
 BROWN  PIRATE TREASURE CHEST ,59,0.0,0.0
 Bank Charges,2,4.0,200.0
 CAMPHOR WOOD PORTOBELLO MUSHROOM,70,0.0,0.0
 CHERRY BLOSSOM  DECORATIVE FLASK,313,3.0,0.9584664536741214
 DOLLY GIRL BEAKER,2451,7.0,0.28559771521827826
 FAIRY CAKE CANDLES,153,0.0,0.0
 FLAMINGO LIGHTS,356,2.0,0.5617977528089888
 HOME SWEET HOME  BLACKBOARD,129,6.0,4.651162790697675
 I LOVE LONDON MINI BACKPACK,388,0.0,0.0
 I LOVE LONDON MINI RUCKSACK,1,0.0,0.0
 IVORY PAPER CUP CAKE CASES ,1153,0.0,0.0
 LARGE SKULL WINDMILL,8,0.0,0.0
 NEW BAROQUE BLACK BOXES,6,0.0,0.0
 NINE DRAWER OFFICE TIDY,58,0.0,0.0
 OVAL WALL MIRROR DIAMANTE ,265,5.0,1.8867924528301887
 PAINT YOUR OWN CANVAS SET,492,0.0,0.0
 PEACE WOODEN BLOCK LETTERS,137,0.0,0.0
 RED SPOT GIFT BAG LARGE,1713,0.0,0.0
 RED/WHITE DOT MINI CASES,491,0.0,0.0
 RIDGED GLASS T-LIGHT HOLDER,952,2.0,0.21008403361344538
 SET 2 TEA TOWELS I LOVE LONDON ,4032,8.0,0.1984126984126984
 SET Of 6 SOLDIER SKITTLES,16,0.0,0.0
 SILVER CHERRY LIGHTS,274,5.0,1.824817518248175
 SILVER T-LIGHT SETTING,43,8.0,18.6046511627907
 SPACEBOY BABY GIFT SET,498,6.0,1.2048192771084338
 STAR  T-LIGHT HOLDER ,25,1.0,4.0
 TOADSTOOL BEDSIDE LIGHT ,2,0.0,0.0
 TRELLIS COAT RACK,227,1.0,0.4405286343612335
 VINTAGE DESIGN GIFT TAGS,269,0.0,0.0
 WHITE BAMBOO RIBS LAMPSHADE,233,0.0,0.0
 WHITE CHERRY LIGHTS,2026,16.0,0.7897334649555774
*Boombox Ipod Classic,1,0.0,0.0
*USB Office Glitter Lamp,1,0.0,0.0
*USB Office Mirror Ball,3,0.0,0.0
10 COLOUR SPACEBOY PEN,12290,208.0,1.6924328722538649
11 PC CERAMIC TEA SET POLKADOT,3,0.0,0.0
12 ASS ZINC CHRISTMAS DECORATIONS,487,1.0,0.20533880903490762
12 COLOURED PARTY BALLOONS,4215,27.0,0.6405693950177936
12 DAISY PEGS IN WOOD BOX,955,0.0,0.0
12 EGG HOUSE PAINTED WOOD,561,2.0,0.35650623885918004
12 HANGING EGGS HAND PAINTED,40,0.0,0.0
12 IVORY ROSE PEG PLACE SETTINGS,2776,1.0,0.03602305475504323
12 MESSAGE CARDS WITH ENVELOPES,3370,61.0,1.8100890207715135
12 MINI TOADSTOOL PEGS,472,2.0,0.423728813559322
12 PENCIL SMALL TUBE WOODLAND,9863,7.0,0.07097232079488999
12 PENCILS SMALL TUBE POSY,549,0.0,0.0
12 PENCILS SMALL TUBE RED RETROSPOT,9880,176.0,1.7813765182186234
12 PENCILS SMALL TUBE RED SPOTTY,8219,1307.0,15.902177880520746
12 PENCILS SMALL TUBE SKULL,13219,612.0,4.629699674710644
12 PENCILS TALL TUBE POSY,5867,216.0,3.6816089994886654
12 PENCILS TALL TUBE RED RETROSPOT,3922,19.0,0.4844467108618052
12 PENCILS TALL TUBE RED SPOTTY,2358,12.0,0.5089058524173028
12 PENCILS TALL TUBE SKULLS,4851,29.0,0.5978148835291692
12 PENCILS TALL TUBE WOODLAND,4718,79.0,1.6744383213225942
